"id","created_at","updated_at","merchant_id","acquirer_id","reference","order_reference","state","card_type","details"
"2735588","2025-10-01 15:11:51.398202 UTC","2025-10-01 15:11:53.316255 UTC","4830","2","b86dd34b6a5ac80fcb7243f84f0e73b5356e9a569956e9e3cfdffaa608447d95","333bca176ccf583b4e1793f5de83bc26-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:11:51.424Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""asLlWs4wePqOOkRm9iLVlhU6sZdJXWCC8ftbNRdMIKs=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""response_code"":""000"",""authorisation_code"":""534904"",""issuer_decline"":false}"
"2734981","2025-10-01 03:34:30.040338 UTC","2025-10-01 03:34:30.148829 UTC","4830","2","dedd763a8bd4397553cec8b0b3d2eef1f822d619006170412036c5c680fa8ffa","ce66532c8a8d81456369905b3de845bc","initial",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null}"
"2734946","2025-10-01 03:31:53.970369 UTC","2025-10-01 03:31:54.116044 UTC","4830","2","52cf1f8593036a1f2a4e626c2746c3b69090b7030d675b94a403e805a242ed40","4a452e4a167b52046e24cbd21d8ace3f","initial",,"{""api_version"":""apiv4"",""disable_tokenization_filter"":null}"
"2736109","2025-10-01 21:12:57.052113 UTC","2025-10-01 21:13:05.582225 UTC","4832","3","040c7c5d27a60bf554a827fe7c516def6fb0bb499d870b387d121d16eb2447d8","d1975662a00247a7bf023471713bc0f9","settled","2","{""api_version"":""apiv4"",""disable_tokenization_filter"":null,""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""10.71.56.194"",""init_trans_created_at"":""2025-10-01T21:12:59.693Z"",""masked_cc_number_hash"":""wB4GCbvGtjBPYw8S74IZh68ZYtu146VSraIvyEm1qCk=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""provider_3ds"":""modirum"",""3ds_requested"":true,""3ds_prompted"":true,""3ds_result"":""3DS attempted"",""state_3ds"":""attempted"",""eci"":""01"",""xid"":""ODYzYWFlNzE1MmM4NDJkYzA4MzA="",""pares_status"":""A"",""veres_result"":""Enrolled"",""3ds_liability_shift"":true,""3ds_protocol"":""3DS2.2.0"",""ds_trans_id"":""181a4228-1334-4dd0-a939-ee9060d0c8c1"",""emv3ds_transaction_status"":""Attempts Processing Performed; Not Authenticated/Verified, but a proof of attempted authentication/verification is provided"",""emv3ds_status_reason"":""undefined"",""emv3ds_server_errorcode"":"""",""emv3ds_server_errordetail"":"""",""provider_errormessage"":""Valid authentication attempt"",""emv3ds_authentication_type"":""undefined"",""3ds_challenge_cancelation_indicator"":""undefined"",""cavv"":""xgQROo44AAAAAAAAAAAAAAAAAAA="",""response_code"":""000"",""cvc_result"":""M"",""authorisation_code"":""946799"",""issuer_decline"":false}"
"2735766","2025-10-01 15:17:34.607352 UTC","2025-10-01 15:17:35.695303 UTC","4832","3","43c1c1f4e41b48a0d7fc3d0761f9f9f7a549f22145d944768549281d9c3222e1","fa3c01e1100034257e1a6fd54b406563-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:17:34.634Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""DZaCLg0Ize96XmP0nFUpu24q68GshLU5Q0E2QpNpQLc=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""response_code"":""000"",""authorisation_code"":""884802"",""issuer_decline"":false}"
"2735912","2025-10-01 17:03:29.973579 UTC","2025-10-01 17:03:30.388837 UTC","4837","2","a6e68b7d3553426418e13f2007b1ca838954aba1b19d78943273e344f9727421","lhvXmonitorXstagingX1759338208","failed","2","{""api_version"":""apiv3"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""state_3ds"":""no3ds"",""monitoring_ok"":false,""response_code"":null,""authorisation_code"":null,""issuer_decline"":false,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":null,""init_trans_created_at"":""2025-10-01T17:03:30.030Z"",""sca_exemption"":""mit"",""masked_cc_number_hash"":""JwqKCnFRLQIO79iZpTo79tA1RtPSloHfRhlyv4dXIJg=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise""}"
"2735887","2025-10-01 15:21:20.742642 UTC","2025-10-01 15:21:22.181440 UTC","4831","1","53cae90ff98d1b8bd8e7532ce661f7c6dd426e53145db6ebd6d626b4a058e684","73a443eb9e164654c3dd484accbef08f-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:21:20.765Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""wrpQhcgo8yNEDDauu90EE6w7R/ywbEl8u4GwMnLF1Y0=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""response_code"":""00"",""authorisation_code"":""609318"",""issuer_decline"":false}"
"2735664","2025-10-01 15:14:23.042492 UTC","2025-10-01 15:14:24.065596 UTC","4832","3","80e097f1d5fe1c43f734eb785c80b40ad28978efb6ec540f4f0d3c6356e1c91b","8aa2d910712a8103529ef6b000eeeacd-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:14:23.076Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""DZaCLg0Ize96XmP0nFUpu24q68GshLU5Q0E2QpNpQLc=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""response_code"":""000"",""authorisation_code"":""196507"",""issuer_decline"":false}"
"2735447","2025-10-01 15:07:21.987526 UTC","2025-10-01 15:07:23.949881 UTC","61","2","d39ae389f4d4136dd09a122fc0e11a1f1bf3ff5bb4ea5f4fd31942af0f512026","79feec562e5357ea6fcdca401237566f-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:07:22.023Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""asLlWs4wePqOOkRm9iLVlhU6sZdJXWCC8ftbNRdMIKs=:aws:5deb11d5"",""mcc"":""5999"",""mcc_description"":""Miscellaneous Specialty Retail"",""response_code"":""000"",""authorisation_code"":""534855"",""issuer_decline"":false}"
"2735460","2025-10-01 15:07:46.651751 UTC","2025-10-01 15:07:48.004103 UTC","4831","1","1e475fbaf2179bac10156533b92b17765159df2be94e7c26495c350a113251eb","aad251c1d61b31e41dfb7b0e1b9b5faa-0","settled","2","{""api_version"":""apiv2"",""wallet_source"":null,""google_auth_method"":null,""click_to_pay_dynamic_data_type"":null,""shopper_ip_country"":null,""method_source"":""card"",""user_ip"":""127.0.0.1"",""init_trans_created_at"":""2025-10-01T15:07:46.675Z"",""sca_exemption"":""recurring"",""masked_cc_number_hash"":""wrpQhcgo8yNEDDauu90EE6w7R/ywbEl8u4GwMnLF1Y0=:aws:5deb11d5"",""mcc"":""5399"",""mcc_description"":""Miscellaneous General Merchandise"",""response_code"":""00"",""authorisation_code"":""390800"",""issuer_decline"":false}"
